address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
67 Grant Ave,,"23,000 SF",Harrison,"Rental Rate,$23.00 /SF/YR,Rentable Building Area,23,000 SF,Property Type,Industrial,Year Built,1977,Property Subtype,Warehouse",2/9/2020,18461673,$1.92 SF/Mo,Industrial,"2,000 SF",1 Space,NY,For Lease,Office,"[('Harrison Station Commuter Rail (New Haven Line)', '9 min walk', '0.4 mi'), ('Mamaroneck Station Commuter Rail (New Haven Line)', '6 min drive', '2.5 mi'), ('Westchester County Airport', '18 min drive', '10.4 mi'), ('La Guardia Airport', '35 min drive', '20.5 mi'), ('John F. Kennedy International Airport', '43 min drive', '28.0 mi'), ('NY - Red Hook Container Terminal', '50 min drive', '30.1 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '13 min drive', '6.8 mi')]","Lighting,Water,Sewer,Heating - Gas"
4119 US Route 20,"Property Manager on Site,Fluorescent Lighting,Air Conditioning","2,400 SF",Nassau,"Rental Rate,$10.00 /SF/YR,Rentable Building Area,2,400 SF,Property Type,Industrial,Year Built,1990,Property Subtype,Warehouse",2/11/2020,18486290,$0.83 SF/Mo,Industrial,"2,400 SF",1 Space,NY,For Lease,Industrial,"[('Albany International Airport', '36 min drive', '23.4 mi'), ('Albany, NY Port', '23 min drive', '11.0 mi'), ('TRANSPLASTICS, INC-ALBANY-NY', '23 min drive', '11.0 mi')]",Heating - Fired Oil
50-29 69th Pl,"Cooler,Freezer (Space),Storage Space","6,375 SF",Woodside,"Rental Rate,$22.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,3,000 SF,Rentable Building Area,6,375 SF,Property Type,Industrial,Year Built,1940",2/10/2020,18479273,$1.83 SF/Mo,Industrial,"3,000 - 6,300 SF",1 Space,NY,For Lease,Industrial,"[('69 Street Transit Stop', '15 min walk', '0.8 mi'), ('Roosevelt Avenue-74 Street Transit Stop', '19 min walk', '0.9 mi'), ('Grand Avenue-Newtown Transit Stop', '20 min walk', '1.0 mi'), ('Woodside-61 Street Transit Stop', '20 min walk', '1.0 mi'), ('Elmhurst Avenue Transit Stop', '20 min walk', '1.0 mi'), ('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '4 min drive', '1.1 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '9 min drive', '3.4 mi'), ('La Guardia Airport', '8 min drive', '3.9 mi'), ('John F. Kennedy International Airport', '18 min drive', '11.4 mi'), ('Newark Liberty International Airport', '38 min drive', '21.1 mi'), ('NY - Red Hook Container Terminal', '17 min drive', '8.5 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '9 min drive', '3.3 mi')]","Water - City Water,Sewer - City Sewer,Heating - Electric"
22 Old Dock Rd,,"15,860 SF",Yaphank,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,15,860 SF,Property Type,Industrial,Year Built,2002,Property Subtype,Warehouse",2/13/2020,18510426,$1.17 SF/Mo,Industrial,"1,800 SF",1 Space,NY,For Lease,Industrial,"[('Yaphank Station Commuter Rail (Greenport Branch)', '6 min drive', '2.4 mi'), ('Medford Station Commuter Rail (Greenport Branch)', '8 min drive', '4.7 mi'), ('Long Island MacArthur Airport', '21 min drive', '11.8 mi'), ('NY - Red Hook Container Terminal', '81 min drive', '63.0 mi'), ('Pinter Warehouse', '33 min drive', '23.7 mi')]",
11 Skyline Dr,"Fenced Lot,Signage","47,421 SF",Plainview,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,47,421 SF,Property Type,Industrial,Year Built,1965,Property Subtype,Warehouse",2/12/2020,18497666,$1.25 SF/Mo,Industrial,"5,160 SF",1 Space,NY,For Lease,Industrial,"[('Syosset Station Commuter Rail (Port Jefferson Branch)', '12 min drive', '4.8 mi'), ('Bethpage Station Commuter Rail (Ronkonkoma Branch)', '12 min drive', '5.1 mi'), ('Long Island MacArthur Airport', '34 min drive', '20.9 mi'), ('John F. Kennedy International Airport', '37 min drive', '25.2 mi'), ('La Guardia Airport', '39 min drive', '25.5 mi'), ('NY - Red Hook Container Terminal', '50 min drive', '35.1 mi'), ('Pinter Warehouse', '17 min drive', '10.3 mi')]",Heating - Gas
505 Johnson Ave,Air Conditioning,"9,000 SF",Bohemia,"Rental Rate,$11.95 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,800 SF,Rentable Building Area,9,000 SF,Property Type,Industrial,Year Built,1984",2/13/2020,18511080,$1.00 SF/Mo,Industrial,"1,800 - 5,400 SF",2 Spaces,NY,For Lease,Industrial,"[('Sayville Station Commuter Rail (Montauk Branch)', '7 min drive', '2.6 mi'), ('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '8 min drive', '3.3 mi'), ('Long Island MacArthur Airport', '4 min drive', '1.5 mi'), ('NY - Red Hook Container Terminal', '66 min drive', '53.4 mi'), ('Pinter Warehouse', '22 min drive', '15.0 mi')]",Heating - Gas
800-820 Shames Dr,,"20,158 SF",Westbury,"Rental Rate,$14.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,11,995 SF,Rentable Building Area,20,158 SF,Property Type,Industrial,Year Built,1974",2/14/2020,18522532,$1.17 SF/Mo,Industrial,"11,995 - 20,158 SF",1 Space,NY,For Lease,Industrial,"[('Westbury Station Commuter Rail (Port Jefferson Branch)', '5 min drive', '2.2 mi'), ('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '6 min drive', '3.2 mi'), ('John F. Kennedy International Airport', '27 min drive', '19.2 mi'), ('La Guardia Airport', '31 min drive', '21.1 mi'), ('Westchester County Airport', '62 min drive', '41.8 mi'), ('NY - Red Hook Container Terminal', '40 min drive', '29.1 mi'), ('Pinter Warehouse', '24 min drive', '15.8 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
41-18 38th St,,"2,500 SF",Long Island City,"Rental Rate,$27.60 /SF/YR,Rentable Building Area,2,500 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",2/13/2020,18511659,$2.30 SF/Mo,Industrial,"2,500 SF",1 Space,NY,For Lease,Industrial,"[('40 Street-Lowery Street Transit Stop', '7 min walk', '0.3 mi'), ('33 Street', '9 min walk', '0.4 mi'), ('36 Street', '13 min walk', '0.6 mi'), ('39 Avenue Transit Stop', '13 min walk', '0.6 mi'), ('46 Street-Bliss Street Transit Stop', '14 min walk', '0.7 mi'), ('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '4 min drive', '1.5 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '5 min drive', '1.8 mi'), ('La Guardia Airport', '9 min drive', '4.4 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.4 mi'), ('Newark Liberty International Airport', '36 min drive', '19.5 mi'), ('NY - Red Hook Container Terminal', '15 min drive', '8.0 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.3 mi')]",Heating - Gas
41-12 38th St,,"10,500 SF",Long Island City,"Rental Rate,$24.00 /SF/YR,Rentable Building Area,10,500 SF,Property Type,Industrial,Year Built,1974,Property Subtype,Warehouse",2/7/2020,18173528,$2.00 SF/Mo,Industrial,"3,000 - 10,500 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('40 Street-Lowery Street Transit Stop', '7 min walk', '0.4 mi'), ('33 Street', '9 min walk', '0.4 mi'), ('36 Street', '13 min walk', '0.6 mi'), ('39 Avenue Transit Stop', '13 min walk', '0.6 mi'), ('46 Street-Bliss Street Transit Stop', '14 min walk', '0.7 mi'), ('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '4 min drive', '1.5 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '5 min drive', '1.8 mi'), ('La Guardia Airport', '9 min drive', '4.4 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.4 mi'), ('Newark Liberty International Airport', '36 min drive', '19.5 mi'), ('NY - Red Hook Container Terminal', '15 min drive', '8.1 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.3 mi')]",Gas
85 Hoffman Ln,"Bus Line,Signage,Recessed Lighting,Air Conditioning","91,251 SF",Islandia,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,91,251 SF,Property Type,Industrial,Year Built,1971,Property Subtype,Warehouse",4/10/2020,18151064,$1.00 SF/Mo,Industrial,"8,000 SF",2 Spaces,NY,For Lease,Industrial,"[('Central Islip Station Commuter Rail (Ronkonkoma Branch)', '6 min drive', '2.7 mi'), ('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '10 min drive', '4.2 mi'), ('Long Island MacArthur Airport', '13 min drive', '5.8 mi'), ('NY - Red Hook Container Terminal', '66 min drive', '50.8 mi'), ('Pinter Warehouse', '18 min drive', '10.3 mi')]","Gas,Heating - Gas"
190 Blydenburgh Rd,Fenced Lot,"37,000 SF",Islandia,"Rental Rate,$15.00 - $16.00 /SF/YR,Rentable Building Area,37,000 SF,Property Type,Industrial,Year Built,1981,Property Subtype,Warehouse",1/14/2020,18180399,$1.25 - $1.33 SF/Mo,Industrial,"2,000 - 4,660 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Central Islip Station Commuter Rail (Ronkonkoma Branch)', '6 min drive', '2.3 mi'), ('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '11 min drive', '5.0 mi'), ('Long Island MacArthur Airport', '12 min drive', '5.5 mi'), ('NY - Red Hook Container Terminal', '66 min drive', '51.5 mi'), ('Pinter Warehouse', '18 min drive', '10.3 mi')]",Heating - Gas
43-31 33rd St,Metro/Subway,"32,000 SF",Long Island City,"Rental Rate,$20.00 /SF/YR,Rentable Building Area,32,000 SF,Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse",1/14/2020,18182591,$1.67 SF/Mo,Industrial,"7,600 SF",1 Space,NY,For Lease,Industrial,"[('33 Street', '2 min walk', '0.1 mi'), ('40 Street-Lowery Street Transit Stop', '9 min walk', '0.4 mi'), ('Queens Plaza Transit Stop', '10 min walk', '0.5 mi'), ('39 Avenue Transit Stop', '13 min walk', '0.7 mi'), ('36 Street', '16 min walk', '0.8 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '19 min walk', '0.9 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '5 min drive', '1.8 mi'), ('La Guardia Airport', '10 min drive', '5.2 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.6 mi'), ('Newark Liberty International Airport', '35 min drive', '19.1 mi'), ('NY - Red Hook Container Terminal', '16 min drive', '8.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.5 mi')]",Heating
33-01 Queens Blvd,,"32,000 SF",Long Island City,"Rental Rate,$19.00 /SF/YR,Rentable Building Area,32,000 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",1/14/2020,18182622,$1.58 SF/Mo,Industrial,"6,500 SF",1 Space,NY,For Lease,Industrial,"[('33 Street', '2 min walk', '0.1 mi'), ('40 Street-Lowery Street Transit Stop', '9 min walk', '0.4 mi'), ('Queens Plaza Transit Stop', '10 min walk', '0.5 mi'), ('39 Avenue Transit Stop', '13 min walk', '0.7 mi'), ('36 Street', '16 min walk', '0.8 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '18 min walk', '0.9 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '5 min drive', '1.8 mi'), ('La Guardia Airport', '10 min drive', '5.2 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.6 mi'), ('Newark Liberty International Airport', '35 min drive', '19.1 mi'), ('NY - Red Hook Container Terminal', '16 min drive', '8.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.5 mi')]",Heating
40 Washburns Ln,,"16,610 SF",Stony Point,"Rental Rate,$6.50 /SF/YR,Rentable Building Area,16,610 SF,Property Type,Industrial,Year Built,1969,Property Subtype,Warehouse",1/15/2020,18189829,$0.54 SF/Mo,Industrial,"16,610 SF",1 Space,NY,For Lease,Industrial,"[('Stewart International Airport', '46 min drive', '27.7 mi'), ('Westchester County Airport', '44 min drive', '29.9 mi'), ('NY - Red Hook Container Terminal', '66 min drive', '47.7 mi'), ('NEW YORK, SUSQUEHANNA AND WESTERN', '40 min drive', '29.0 mi')]",
85 Harbor Rd,,"130,000 SF",Port Washington,"Rental Rate,$10.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,50,000 SF,Rentable Building Area,130,000 SF,Property Type,Industrial,Year Built,1974",1/15/2020,18189174,$0.83 SF/Mo,Industrial,"50,000 - 80,000 SF",1 Space,NY,For Lease,Industrial,"[('Port Washington Station Commuter Rail (Port Washington Branch)', '5 min drive', '1.6 mi'), ('Plandome Station Commuter Rail (Port Washington Branch)', '7 min drive', '3.0 mi'), ('La Guardia Airport', '30 min drive', '17.4 mi'), ('John F. Kennedy International Airport', '32 min drive', '20.4 mi'), ('Westchester County Airport', '59 min drive', '36.9 mi'), ('NY - Red Hook Container Terminal', '41 min drive', '26.2 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '55 min drive', '34.4 mi')]","Lighting,Gas,Water,Sewer,Heating"
4551 Furman Ave,"24 Hour Access,Bus Line,Metro/Subway,Signage","25,000 SF",Bronx,"Rental Rate,$15.00 /SF/YR,Rentable Building Area,25,000 SF,Property Type,Industrial,Year Built,1957,Property Subtype,Warehouse",9/13/2018,18190667,$1.25 SF/Mo,Industrial,"25,000 SF",1 Space,NY,For Lease,Industrial,"[('Nereid Avenue Transit Stop', '5 min walk', '0.2 mi'), ('Wakefield-241 Street Transit Stop', '5 min walk', '0.3 mi'), ('233 Street Transit Stop', '13 min walk', '0.6 mi'), ('Wakefield Station Commuter Rail (Harlem Line)', '12 min walk', '0.6 mi'), ('Woodlawn Station Commuter Rail (Harlem Line)', '20 min walk', '1.0 mi'), ('La Guardia Airport', '25 min drive', '13.6 mi'), ('Westchester County Airport', '29 min drive', '18.6 mi'), ('John F. Kennedy International Airport', '33 min drive', '21.1 mi'), ('NY - Red Hook Container Terminal', '34 min drive', '21.8 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '24 min drive', '14.2 mi')]",
11 Gurda Ln,,"19,200 SF",Goshen,"Rental Rate,$6.00 /SF/YR,Rentable Building Area,19,200 SF,Property Type,Industrial,Year Built,1987,Property Subtype,Warehouse",1/16/2020,18207026,$0.50 SF/Mo,Industrial,"19,200 SF",1 Space,NY,For Lease,Industrial,"[('Stewart International Airport', '40 min drive', '21.7 mi'), ('Port Newark Container Terminal', '94 min drive', '69.9 mi'), ('MHF, Inc.', '77 min drive', '60.1 mi')]",
47-61 Pearson Pl,"24 Hour Access,Air Conditioning","56,000 SF",Long Island City,"Rental Rate,$25.00 /SF/YR,Rentable Building Area,56,000 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",1/16/2020,18210514,$2.08 SF/Mo,Industrial,"1,800 - 19,300 SF",4 Spaces,NY,For Lease,Flex,"[('Hunters Point Avenue Transit Stop', '8 min walk', '0.4 mi'), ('21 Street Transit Stop', '12 min walk', '0.6 mi'), ('Long Island City-Court Square Transit Stop', '15 min walk', '0.7 mi'), ('45 Road-Court House Square Transit Stop', '16 min walk', '0.8 mi'), ('Court Square - 23rd Street Transit Stop', '18 min walk', '0.9 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '7 min walk', '0.3 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '19 min walk', '1.0 mi'), ('La Guardia Airport', '11 min drive', '5.9 mi'), ('John F. Kennedy International Airport', '21 min drive', '14.4 mi'), ('Newark Liberty International Airport', '34 min drive', '18.2 mi'), ('NY - Red Hook Container Terminal', '15 min drive', '8.0 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.3 mi')]",Heating - Gas
43-39 35th St,,"4,000 SF",Long Island City,"Rental Rate,$22.00 /SF/YR,Rentable Building Area,4,000 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Warehouse",1/18/2020,18233633,$1.83 SF/Mo,Industrial,"4,000 SF",1 Space,NY,For Lease,Industrial,"[('33 Street', '3 min walk', '0.1 mi'), ('40 Street-Lowery Street Transit Stop', '7 min walk', '0.3 mi'), ('Queens Plaza Transit Stop', '12 min walk', '0.6 mi'), ('39 Avenue Transit Stop', '12 min walk', '0.6 mi'), ('36 Street', '15 min walk', '0.7 mi'), ('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '5 min drive', '1.7 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '5 min drive', '1.7 mi'), ('La Guardia Airport', '10 min drive', '4.6 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.5 mi'), ('Newark Liberty International Airport', '36 min drive', '19.4 mi'), ('NY - Red Hook Container Terminal', '16 min drive', '8.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '13 min drive', '5.5 mi')]",
1086 Myrtle Ave,Signage,"10,200 SF",Brooklyn,"Rental Rate,$27.00 /SF/YR,Rentable Building Area,10,200 SF,Property Type,Industrial,Year Built,1917,Property Subtype,Warehouse",7/22/2019,18210780,$2.25 SF/Mo,Industrial,"1,150 - 4,550 SF",2 Spaces,NY,For Lease,"Office, Office/Retail","[('Myrtle Avenue Transit Stop', '3 min walk', '0.1 mi'), ('Flushing Avenue', '7 min walk', '0.3 mi'), ('Kosciuszko Street Transit Stop', '12 min walk', '0.5 mi'), ('Central Avenue Transit Stop', '12 min walk', '0.6 mi'), ('Myrtle-Willoughby Avenues Transit Stop', '(G)', '14 min walk'), ('0.7 mi', 'Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '5 min drive'), ('2.0 mi', 'Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive'), ('2.8 mi', 'La Guardia Airport', '15 min drive'), ('8.4 mi', 'John F. Kennedy International Airport', '18 min drive'), ('11.0 mi', 'Newark Liberty International Airport', '35 min drive'), ('16.6 mi', 'NY - Red Hook Container Terminal', '10 min drive'), ('4.8 mi', 'NEW YORK AND ATLANTIC RAILWAY', '7 min drive'), ('3.0 mi',)]",
133 W Seneca St,,"2,550 SF",Manlius,"Rental Rate,$10.00 /SF/YR,Rentable Building Area,2,550 SF,Property Type,Industrial,Year Built,1990,Property Subtype,Warehouse",1/20/2020,18244043,$0.83 SF/Mo,Industrial,"2,550 SF",1 Space,NY,For Lease,Industrial,,"Water,Sewer"
180-188 Atlantic Ave,"24 Hour Access,Commuter Rail,Conferencing Facility,Signage,Air Conditioning","29,175 SF",Garden City Park,"Rental Rate,$13.95 /SF/YR,Rentable Building Area,29,175 SF,Property Type,Industrial,Year Built,1952,Property Subtype,Warehouse",1/20/2020,18243231,$1.16 SF/Mo,Industrial,"9,100 SF",1 Space,NY,For Lease,Industrial,"[('Merillon Avenue Station Commuter Rail (Port Jefferson Branch)', '4 min walk', '0.2 mi'), ('Nassau Boulevard Station Commuter Rail (Hempstead Branch)', '20 min walk', '1.0 mi'), ('John F. Kennedy International Airport', '19 min drive', '13.7 mi'), ('La Guardia Airport', '23 min drive', '15.0 mi'), ('Westchester County Airport', '54 min drive', '36.3 mi'), ('NY - Red Hook Container Terminal', '33 min drive', '21.3 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '23 min drive', '13.7 mi')]","Gas,Sewer,Heating - Gas"
2099-2101 Mt Read Blvd,"24 Hour Access,Bus Line,Buss Ducts,Security System,Signage,Air Conditioning","16,710 SF",Rochester,"Rental Rate,$5.50 /SF/YR,Rentable Building Area,16,710 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",1/20/2020,18244725,$0.46 SF/Mo,Industrial,"16,710 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '12 min drive', '7.5 mi'), ('Albany, NY Port', '274 min drive', '231.3 mi'), ('J. MacKenzie Limited', '19 min drive', '10.8 mi')]",
16-39 Centre St,"24 Hour Access,Conferencing Facility,Skylights","44,000 SF",Ridgewood,"Rental Rate,$12.96 - $54.00 /SF/YR,Rentable Building Area,44,000 SF,Property Type,Industrial,Year Built,1930,Property Subtype,Warehouse",2/10/2020,18244373,$1.08 - $4.50 SF/Mo,Industrial,170 - 891 SF,4 Spaces,NY,For Lease,Office,"[('Halsey Street', '4 min walk', '0.2 mi'), ('Myrtle-Wyckoff Avenues Transit Stop', '11 min walk', '0.5 mi'), ('Seneca Avenue Transit Stop', '11 min walk', '0.5 mi'), ('Forest Avenue Transit Stop', '13 min walk', '0.6 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '6 min drive', '2.4 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '9 min drive', '4.0 mi'), ('La Guardia Airport', '15 min drive', '7.7 mi'), ('John F. Kennedy International Airport', '17 min drive', '9.4 mi'), ('Newark Liberty International Airport', '39 min drive', '18.1 mi'), ('NY - Red Hook Container Terminal', '13 min drive', '6.7 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '4 min drive', '1.3 mi')]",
